12.03,256.1,68.9,65.5,29.83,35.6,20,1.8,14,56.45,64,72.469
12.82,261.6,62.6,69.6,30.34,41.9,24,1.81,17,57.31,75,72.187
13.04,246.8,79.5,68.5,29.4,41.4,25,1.8,20,63.05,83,71.494
10.63,262.4,62.9,60.8,29.8,33.3,16,1.77,8,42.13,44,73.568
11.67,247.2,69.3,64.6,29.96,28.6,19,1.83,14,54.6,62,72.936
9.47,231.5,67.3,52.9,29.52,48.1,11,1.86,3,26.07,25,75.16
10.5,244.3,64.5,59.8,30.07,30.6,17,1.82,8,39.64,49,74.102
10.1,236.3,73.4,60.4,30.3,56.5,10,1.84,2,39.32,23,73.739
10.06,238.5,62.7,57.3,30.19,42.3,18,1.88,4,34.67,41,74.39
8.37,245.4,67.3,56.4,29.91,32.5,17,1.87,2,27.37,37,74.892
13.51,250,73.9,68.7,29.71,40,24,1.8,21,67.99,83,71.446
11.14,247.6,58.7,60.9,30.6,44.6,21,1.88,9,35.59,58,74.155
13.08,253.3,68.7,69.5,29.48,32.4,10,1.77,9,69.25,36,71.444
11.72,247.9,68.1,61.5,29.15,41.3,18,1.77,6,44.07,45,73.067
10.45,241,72.4,59.8,30.03,27.3,17,1.86,5,40.53,41,73.829
14.23,263.7,71.4,74.5,29.68,36.8,25,1.78,25,86.9,94,70.277
9.53,254.3,60,58.4,29.85,29.6,15,1.86,3,29.05,34,74.353
11.46,249.4,67.4,66.4,30.76,35.7,17,1.85,7,43.27,46,73.5
11.15,245.5,73.3,63.2,29.37,28.6,17,1.84,9,36.12,48,73.208
10.5,252.4,72.1,68.3,31.23,33.3,15,1.9,6,49.88,40,73.1
11.36,259.9,67.5,66.7,30.76,27.5,18,1.87,8,44.25,49,73
11.79,260.6,63.2,68.3,30.61,27.5,21,1.84,14,47.5,67,73.388
12.86,242.5,78.6,65.3,29.59,38.3,25,1.8,19,61.38,82,72.219
11.95,243.8,69.7,63.5,29.4,41.9,19,1.82,1,48.6,63,72.889
10.44,247.8,64.1,59.6,31.14,40,21,1.89,3,27.14,48,74.625
11.47,249.6,76.6,66.2,30.41,39.3,19,1.87,10,43.84,55,73.055
12.86,256.7,73.3,69.6,29.71,30.2,20,1.78,14,66.57,65,71.477
11.07,238.9,80.8,62.8,30.21,33.3,17,1.83,9,46.41,49,72.98
13.68,245.7,77,69.5,29.21,46.4,17,1.79,17,78.86,63,70.778
12.7,249.3,74.3,68.1,29.23,44.6,21,1.77,18,68.2,72,71.319
12.05,239.4,66.4,64.2,29.6,42.9,21,1.81,15,58.05,69,72.551
14.03,249.3,74.8,72.2,29.72,46.9,25,1.76,21,73.07,89,71
12.47,249.9,70.5,71.3,31.05,37.9,20,1.85,18,64.46,73,72.082
10.48,253.1,67.1,65.3,30.73,28.6,19,1.87,8,35.51,53,74.113
14.07,269.2,65.4,71.7,29.83,39.5,27,1.81,26,84.78,99,70.444
12.11,249.2,68.5,58.9,28.73,54.8,21,1.8,17,59.16,72,72.75
10.57,240.5,73.9,62.7,29.87,42.9,17,1.82,5,39.02,43,73.465
10.77,240.3,67.1,58.2,29.69,30.8,16,1.85,7,39.78,43,73.698
12.79,265.3,62.5,65.7,29.69,33.3,25,1.8,20,62.89,81,71.876
11.56,245.9,69.1,67.8,29.07,35.7,14,1.8,9,60.63,45,71.867
13.41,257.6,71.1,66.8,29.73,36.1,25,1.8,19,64.05,82,71.939
12.75,258.9,69.4,66.9,29.88,34.7,24,1.8,17,57.19,76,72.29
11.69,248.3,61.2,60.1,28.58,36.4,19,1.8,10,55.42,56,72.482
14.13,268.1,66,72.1,29.72,48.4,22,1.77,19,77.83,80,70.487
12.63,272.5,62.9,69.6,30.42,39.2,21,1.8,17,66.64,70,71.757
9.01,247.8,68.5,64,31,51.2,17,1.89,2,28.24,37,74.676
11.74,250.1,65.9,64.1,29.43,32.7,18,1.78,12,55.5,56,72.25
12.97,266,68.5,73.2,30.57,37.1,18,1.81,14,72.72,59,71.017
11.42,254.2,71.9,65.2,29.7,52,15,1.82,6,47.16,41,72.415
13.23,242.5,73.7,68.1,29.98,45.9,25,1.82,19,62.02,83,71.904
12.67,242.9,70.9,65.3,29.68,43.2,20,1.81,15,60.07,67,72.373
14.21,265.2,71.8,72.2,29.48,36.4,22,1.75,22,86.76,83,70.157
13.58,268.9,64.4,70.7,30.4,40.8,22,1.81,17,63.06,74,71.54
11.49,253.2,47.4,62,29.7,32.1,18,1.8,11,41.57,55,73.564
11.37,252.4,60.2,57.5,28.9,50,21,1.79,11,44.5,61,73.213
10.68,247.9,73.3,61.4,29.96,36.7,11,1.86,3,39.57,27,73.37
12.7,250,68.2,73.7,30.51,26.7,20,1.82,14,67.12,65,71.446
12.11,254.1,69.5,68.2,31.03,33.8,22,1.84,17,56.1,72,72.917
11.31,247.9,71.5,62,29.67,31.3,17,1.83,9,46.03,50,72.88
9.19,238.9,75.3,66.4,31.3,25,9,1.93,3,35.21,23,73.913
13.01,260.1,69.2,69.4,30.6,40.3,24,1.84,19,61.97,81,71.975
10.99,258.9,63.6,65.4,30.18,31.1,13,1.84,10,55.36,44,72.886
13.33,256.1,74.5,72.4,30.21,31.4,25,1.8,23,75.78,89,71.157
10.56,243.2,72.4,60.6,29.93,45.2,18,1.86,6,35.85,47,74
9.36,239.8,77.7,62.3,30.89,30.6,17,1.88,4,31.27,40,74.225
10.89,252,66.7,66.8,30.95,24.4,17,1.87,7,39.83,46,73.217
12.61,251.8,70.2,68.7,30.47,41.2,23,1.84,16,59.97,72,72.208
9.86,241.2,64.1,58.3,30.54,28.6,17,1.86,4,30.35,41,74.39
10.1,251.8,62.4,63.3,30.91,27,17,1.88,4,32.14,40,74.05
14.23,254.3,75.7,71.6,29.15,50.8,22,1.76,22,85.82,83,70.325
9.72,256.3,67.5,60.4,30.48,23.7,9,1.85,4,35.73,25,74.72
12.28,246.4,76.1,68.5,30.73,51.4,24,1.86,15,52.06,71,72.69
10.93,242.4,73.9,61.5,30.52,34.5,13,1.86,5,35.01,35,73.771
